City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-05-17 13:05:06,-46.1927,168.8643,45.48,92,94,3.15,overcast clouds
1,Bredasdorp,ZA,2022-05-17 13:05:07,-34.5322,20.0403,80.87,24,21,6.93,few clouds
2,Roma,US,2022-05-17 12:54:03,43.2128,-75.4557,52.95,94,98,4.0,overcast clouds
3,Karratha,AU,2022-05-17 13:05:07,-20.7377,116.8463,72.59,89,99,5.73,light rain
4,Carnarvon,AU,2022-05-17 13:05:08,-24.8667,113.6333,72.3,61,0,8.46,clear sky
5,Rexburg,US,2022-05-17 13:05:08,43.826,-111.7897,48.42,81,0,0.0,clear sky
6,Jamestown,US,2022-05-17 13:02:25,42.097,-79.2353,53.06,68,0,9.22,clear sky
7,Punta Arenas,CL,2022-05-17 13:05:08,-53.15,-70.9167,44.71,87,100,14.97,overcast clouds
8,Avarua,CK,2022-05-17 13:05:11,-21.2078,-159.775,73.45,94,75,3.44,broken clouds
9,Ushuaia,AR,2022-05-17 13:03:53,-54.8,-68.3,39.07,93,100,8.57,overcast clouds
10,Nantucket,US,2022-05-17 13:02:19,41.2835,-70.0995,62.71,72,0,14.97,clear sky
11,Hermanus,ZA,2022-05-17 13:05:11,-34.4187,19.2345,72.97,43,97,4.34,overcast clouds
12,Queimadas,BR,2022-05-17 13:05:12,-10.9783,-39.6264,84.11,56,93,3.89,overcast clouds
13,Kodiak,US,2022-05-17 13:05:12,57.79,-152.4072,42.31,56,0,4.61,clear sky
14,San Policarpo,PH,2022-05-17 13:05:12,12.1791,125.5072,81.73,82,96,10.49,overcast clouds
15,Butaritari,KI,2022-05-17 13:05:13,3.0707,172.7902,81.64,76,20,16.4,few clouds
16,Portland,US,2022-05-17 13:05:13,45.5234,-122.6762,48.13,87,75,3.44,broken clouds
17,Andenes,NO,2022-05-17 13:03:14,69.3143,16.1194,35.58,93,100,18.41,light rain
18,Qaanaaq,GL,2022-05-17 13:05:13,77.484,-69.3632,22.28,73,97,7.18,overcast clouds
19,Saskylakh,RU,2022-05-17 13:05:14,71.9167,114.0833,13.12,98,56,3.36,broken clouds
20,Rikitea,PF,2022-05-17 13:05:14,-23.1203,-134.9692,76.37,79,15,21.65,few clouds
21,Severo-Kurilsk,RU,2022-05-17 13:05:14,50.6789,156.125,41.41,80,10,5.86,clear sky
22,Victoria,HK,2022-05-17 13:04:26,22.2855,114.1577,75.18,75,74,13.0,broken clouds
23,Aswan,EG,2022-05-17 13:05:15,24.0934,32.907,105.03,9,22,14.9,few clouds
24,Bluff,NZ,2022-05-17 13:05:15,-46.6,168.3333,45.81,79,93,12.46,overcast clouds
25,Manicaragua,CU,2022-05-17 13:05:16,22.1494,-79.9736,79.25,77,74,2.15,broken clouds
26,Zelenoborskiy,RU,2022-05-17 13:05:16,66.845,32.3622,40.64,56,100,6.49,overcast clouds
27,Katakwi,UG,2022-05-17 13:05:16,1.8911,33.9661,80.96,50,69,6.44,broken clouds
28,New Norfolk,AU,2022-05-17 13:05:17,-42.7826,147.0587,50.92,79,96,1.99,overcast clouds
29,Hithadhoo,MV,2022-05-17 13:05:17,-0.6,73.0833,84.16,76,56,18.54,broken clouds
30,Nanortalik,GL,2022-05-17 13:05:17,60.1432,-45.2371,39.07,82,23,2.82,few clouds
31,Tiksi,RU,2022-05-17 13:05:18,71.6872,128.8694,25.07,97,100,10.09,light snow
32,Vestmanna,FO,2022-05-17 13:05:18,62.1564,-7.1664,47.32,100,100,21.85,light rain
33,Atuona,PF,2022-05-17 13:05:18,-9.8,-139.0333,78.87,66,93,17.65,overcast clouds
34,Arraial Do Cabo,BR,2022-05-17 13:05:19,-22.9661,-42.0278,75.06,73,20,10.36,few clouds
35,Chokurdakh,RU,2022-05-17 12:56:08,70.6333,147.9167,28.69,85,100,3.8,overcast clouds
36,Lengshuijiang,CN,2022-05-17 13:05:19,27.6881,111.4294,65.19,78,100,2.1,overcast clouds
37,Tessalit,ML,2022-05-17 13:05:19,20.1986,1.0114,103.6,8,2,5.3,clear sky
38,Clyde River,CA,2022-05-17 13:05:20,70.4692,-68.5914,22.71,88,43,0.78,scattered clouds
39,Sarahan,IN,2022-05-17 13:05:20,31.5167,77.8,56.28,84,100,1.68,overcast clouds
40,Tasiilaq,GL,2022-05-17 12:56:10,65.6145,-37.6368,38.62,99,100,3.27,overcast clouds
41,Kuusamo,FI,2022-05-17 13:05:21,65.9667,29.1833,37.44,60,100,9.22,overcast clouds
42,Huaral,PE,2022-05-17 13:06:21,-11.495,-77.2078,65.07,79,82,4.59,broken clouds
43,Vardo,NO,2022-05-17 13:03:13,70.3705,31.1107,39.18,75,100,21.85,overcast clouds
44,Vaini,TO,2022-05-17 13:06:21,-21.2,-175.2,71.76,83,20,6.91,few clouds
45,Coquimbo,CL,2022-05-17 13:04:14,-29.9533,-71.3436,56.37,83,40,1.41,scattered clouds
46,Hobart,AU,2022-05-17 13:06:22,-42.8794,147.3294,51.26,72,95,14.97,overcast clouds
47,Rafaela,AR,2022-05-17 13:06:22,-31.2503,-61.4867,46.99,51,70,8.99,broken clouds
48,Sambava,MG,2022-05-17 13:06:22,-14.2667,50.1667,80.44,72,0,15.9,clear sky
49,Northam,GB,2022-05-17 13:06:23,51.0333,-4.2167,69.39,68,87,20.02,light rain
50,Nelson Bay,AU,2022-05-17 13:06:23,-32.7167,152.15,57.99,92,0,11.41,clear sky
51,Mogadishu,SO,2022-05-17 13:03:12,2.0371,45.3438,82.9,73,64,19.15,broken clouds
52,Nizhnevartovsk,RU,2022-05-17 13:06:23,60.9344,76.5531,55.42,94,20,7.0,light intensity shower rain
53,Saldanha,ZA,2022-05-17 13:06:24,-33.0117,17.9442,77.11,32,14,12.28,few clouds
54,Klaksvik,FO,2022-05-17 13:06:24,62.2266,-6.589,49.12,97,100,24.32,overcast clouds
55,Port Alfred,ZA,2022-05-17 13:06:24,-33.5906,26.891,83.55,38,0,5.64,clear sky
56,High Prairie,CA,2022-05-17 13:05:22,55.4334,-116.4858,40.21,66,100,11.77,overcast clouds
57,Pangnirtung,CA,2022-05-17 13:06:25,66.1451,-65.7125,28.69,73,100,1.83,overcast clouds
58,Upernavik,GL,2022-05-17 13:06:25,72.7868,-56.1549,15.55,83,23,8.72,few clouds
59,Corn Island,NI,2022-05-17 13:06:26,12.1694,-83.0418,81.86,78,100,12.46,overcast clouds
60,Neunkirchen,DE,2022-05-17 13:06:26,49.35,7.1833,81.25,39,0,6.91,clear sky
61,Giarmata,RO,2022-05-17 13:06:26,45.8383,21.3108,80.96,43,20,8.05,few clouds
62,Ganj Muradabad,IN,2022-05-17 13:06:27,26.9667,80.1833,104.88,7,0,6.35,clear sky
63,Merauke,ID,2022-05-17 13:06:27,-8.4667,140.3333,78.03,82,7,10.69,clear sky
64,Taoudenni,ML,2022-05-17 13:06:27,22.6783,-3.9836,105.98,4,0,8.08,clear sky
65,Chuy,UY,2022-05-17 13:06:28,-33.6971,-53.4616,51.49,88,100,20.58,overcast clouds
66,Barrow,US,2022-05-17 13:06:28,71.2906,-156.7887,15.82,73,100,3.44,haze
67,Lompoc,US,2022-05-17 13:06:28,34.6391,-120.4579,53.78,85,100,27.0,overcast clouds
68,Kaura Namoda,NG,2022-05-17 13:06:29,12.5898,6.5779,103.89,8,99,5.66,overcast clouds
69,Yellowknife,CA,2022-05-17 13:04:28,62.456,-114.3525,37.49,69,93,16.04,overcast clouds
70,Kapaa,US,2022-05-17 13:06:29,22.0752,-159.319,73.38,96,45,1.99,scattered clouds
71,Roebourne,AU,2022-05-17 13:06:29,-20.7833,117.1333,72.73,88,100,4.09,light rain
72,Busselton,AU,2022-05-17 13:06:30,-33.65,115.3333,61.97,80,100,8.88,heavy intensity rain
73,Cidreira,BR,2022-05-17 13:06:30,-30.1811,-50.2056,54.23,73,82,23.91,broken clouds
74,Lahad Datu,MY,2022-05-17 13:06:30,5.0268,118.327,77.45,89,100,2.42,overcast clouds
75,Shubarshi,KZ,2022-05-17 13:06:31,48.5872,57.1869,64.33,38,100,14.7,overcast clouds
76,Tiarei,PF,2022-05-17 13:06:31,-17.5333,-149.3333,73.42,76,43,12.39,light rain
77,Oranjemund,NA,2022-05-17 13:06:31,-28.55,16.4333,88.74,22,0,11.34,clear sky
78,Geraldton,AU,2022-05-17 13:06:32,-28.7667,114.6,61.21,88,30,6.91,scattered clouds
79,Hilo,US,2022-05-17 13:06:32,19.7297,-155.09,72.28,91,75,5.75,broken clouds
80,Port Blair,IN,2022-05-17 13:06:33,11.6667,92.75,79.48,90,100,8.1,moderate rain
81,Kaeo,NZ,2022-05-17 13:06:33,-35.1,173.7833,65.32,94,100,12.46,overcast clouds
82,Provideniya,RU,2022-05-17 13:06:33,64.3833,-173.3,31.23,72,79,3.71,broken clouds
83,Kropotkin,RU,2022-05-17 13:05:27,45.4375,40.5756,64.71,66,44,14.99,light rain
84,Cabo Rojo,PR,2022-05-17 13:04:21,18.0866,-67.1457,85.89,72,25,3.0,scattered clouds
85,Olafsvik,IS,2022-05-17 13:06:34,64.8945,-23.7142,48.02,76,100,6.02,overcast clouds
86,Vrangel,RU,2022-05-17 13:06:34,42.7297,133.0839,49.39,73,0,3.83,clear sky
87,Bara,NG,2022-05-17 13:06:34,10.3744,10.7288,101.01,26,28,3.74,scattered clouds
88,Lasa,IT,2022-05-17 13:07:35,46.6166,10.7002,77.68,40,52,5.01,broken clouds
89,Rocha,UY,2022-05-17 13:07:35,-34.4833,-54.3333,56.1,93,100,19.44,moderate rain
90,Norman Wells,CA,2022-05-17 13:07:35,65.282,-126.8329,43.25,86,91,1.03,overcast clouds
91,Kahului,US,2022-05-17 13:04:44,20.8947,-156.47,74.84,64,0,4.61,clear sky
92,Baneh,IR,2022-05-17 13:07:36,35.9975,45.8853,68.5,37,1,14.61,clear sky
93,Iqaluit,CA,2022-05-17 13:07:36,63.7506,-68.5145,25.7,73,100,8.99,overcast clouds
94,Nikolskoye,RU,2022-05-17 13:07:36,59.7035,30.7861,44.87,82,100,10.31,overcast clouds
95,Henderson,US,2022-05-17 13:07:37,36.0397,-114.9819,76.82,17,0,18.41,clear sky
96,Carayao,PY,2022-05-17 13:07:37,-25.1833,-56.4,52.47,66,0,5.14,clear sky
97,Nova Odesa,UA,2022-05-17 13:07:37,47.3078,31.7851,70.92,35,88,13.13,overcast clouds
98,Neyshabur,IR,2022-05-17 13:07:38,36.2133,58.7958,82.58,22,80,16.6,broken clouds
99,Rio Grande,BR,2022-05-17 13:07:38,-32.035,-52.0986,55.51,76,100,26.55,overcast clouds
100,Talnakh,RU,2022-05-17 13:07:39,69.4865,88.3972,43.79,93,16,8.19,few clouds
101,Ibra,OM,2022-05-17 13:07:39,22.6906,58.5334,105.73,4,0,8.37,clear sky
102,Tsiroanomandidy,MG,2022-05-17 13:07:24,-18.7667,46.0333,73.36,55,100,3.91,overcast clouds
103,Tuktoyaktuk,CA,2022-05-17 13:03:23,69.4541,-133.0374,31.33,96,100,5.77,overcast clouds
104,Pevek,RU,2022-05-17 13:07:39,69.7008,170.3133,32.7,95,100,6.73,overcast clouds
105,Novyy Urengoy,RU,2022-05-17 13:07:40,66.0833,76.6333,57.63,56,99,3.51,light rain
106,Puerto Baquerizo Moreno,EC,2022-05-17 13:07:40,-0.9,-89.6,72.79,88,100,5.48,overcast clouds
107,Broken Hill,AU,2022-05-17 13:07:40,-31.95,141.4333,55.76,60,0,4.94,clear sky
108,Ahipara,NZ,2022-05-17 13:07:41,-35.1667,173.1667,66.27,93,100,15.32,overcast clouds
109,Bang Mun Nak,TH,2022-05-17 13:07:41,16.0278,100.3792,88.99,75,100,6.42,overcast clouds
110,Lorengau,PG,2022-05-17 13:07:41,-2.0226,147.2712,82.36,75,61,7.31,broken clouds
111,Albany,US,2022-05-17 13:06:27,42.6001,-73.9662,61.95,71,17,1.01,few clouds
112,Seymchan,RU,2022-05-17 13:07:42,62.8833,152.4333,37.36,75,9,8.05,clear sky
113,Faanui,PF,2022-05-17 13:07:42,-16.4833,-151.75,80.33,74,24,11.83,light rain
114,Goba,ET,2022-05-17 13:07:42,7.0167,39.9833,66.94,48,56,9.78,light rain
115,Zhicheng,CN,2022-05-17 13:07:43,30.2956,111.5047,68.67,68,100,6.26,overcast clouds
116,Flin Flon,CA,2022-05-17 13:07:43,54.7682,-101.865,41.09,60,91,5.75,overcast clouds
117,Muli,MV,2022-05-17 13:07:43,2.9167,73.5667,83.21,80,100,21.94,overcast clouds
118,Mao,ES,2022-05-17 13:05:45,39.8885,4.2658,72.16,73,0,5.75,clear sky
119,Santa Maria,BR,2022-05-17 13:03:18,-29.6842,-53.8069,46.99,77,21,14.16,few clouds
120,Dikson,RU,2022-05-17 13:07:44,73.5069,80.5464,34.18,100,100,6.38,overcast clouds
121,Mysliborz,PL,2022-05-17 13:06:26,52.9238,14.8679,73.47,51,100,6.22,overcast clouds
122,Cape Town,ZA,2022-05-17 13:03:40,-33.9258,18.4232,82.35,43,93,1.01,overcast clouds
123,Port Elizabeth,ZA,2022-05-17 13:07:12,-33.918,25.5701,81.52,39,0,7.07,clear sky
124,Constitucion,CL,2022-05-17 13:07:44,-35.3333,-72.4167,54.43,59,0,3.31,clear sky
125,Viet Tri,VN,2022-05-17 13:07:45,21.3019,105.4308,78.75,65,83,5.97,broken clouds
126,Monte Santo De Minas,BR,2022-05-17 13:07:45,-21.1897,-46.9803,56.16,76,57,7.81,broken clouds
127,Novoagansk,RU,2022-05-17 13:07:45,61.9449,76.6625,56.55,79,100,4.23,light rain
128,Dubrovytsya,UA,2022-05-17 13:07:46,51.5744,26.565,56.48,38,38,16.28,scattered clouds
129,Bayir,TR,2022-05-17 13:07:46,37.2687,28.2167,79.32,28,2,11.41,clear sky
130,Turukhansk,RU,2022-05-17 13:07:46,65.8167,87.9833,55.42,79,100,12.88,overcast clouds
131,Hasaki,JP,2022-05-17 13:07:47,35.7333,140.8333,59.29,81,100,5.55,moderate rain
132,Auki,SB,2022-05-17 13:07:47,-8.7676,160.7034,77.5,84,9,2.21,clear sky
133,Buala,SB,2022-05-17 13:08:47,-8.145,159.5921,80.37,80,31,5.06,light rain
134,Alihe,CN,2022-05-17 13:08:48,50.5667,123.7167,44.55,34,2,0.31,clear sky
135,Point Pleasant,US,2022-05-17 13:08:37,40.0832,-74.0682,69.35,60,0,10.36,clear sky
136,San Juan,AR,2022-05-17 13:08:46,-31.5375,-68.5364,45.93,43,0,5.82,clear sky
137,Deder,ET,2022-05-17 13:08:48,9.3167,41.45,78.57,19,39,6.33,scattered clouds
138,Udgir,IN,2022-05-17 13:08:49,18.3833,77.1167,89.89,36,98,16.98,overcast clouds
139,Kendari,ID,2022-05-17 13:08:49,-3.945,122.4989,78.33,89,100,3.29,overcast clouds
140,Azua,DO,2022-05-17 13:08:49,18.4532,-70.7349,74.19,61,19,3.71,few clouds
141,Kargasok,RU,2022-05-17 13:08:50,59.0556,80.8572,69.51,39,7,16.82,clear sky
142,Abha,SA,2022-05-17 13:08:50,18.2164,42.5053,82.65,3,0,13.8,clear sky
143,Buraydah,SA,2022-05-17 13:08:50,26.326,43.975,99.19,10,0,5.1,clear sky
144,Saint-Pierre,RE,2022-05-17 13:08:51,-21.3393,55.4781,76.68,61,20,19.57,few clouds
145,East London,ZA,2022-05-17 13:08:51,-33.0153,27.9116,81.34,43,0,5.7,clear sky
146,Guarabira,BR,2022-05-17 13:04:05,-6.8547,-35.49,82.42,80,46,9.91,scattered clouds
147,Hamilton,US,2022-05-17 13:08:51,39.1834,-84.5333,67.86,62,0,9.22,clear sky
148,Skegness,GB,2022-05-17 13:08:52,53.1436,0.3363,75.02,72,100,8.79,overcast clouds
149,The Valley,AI,2022-05-17 13:08:52,18.217,-63.0578,84.09,83,40,11.5,scattered clouds
150,Port Hardy,CA,2022-05-17 13:08:52,50.6996,-127.4199,42.98,87,100,6.91,light intensity shower rain
151,Bogovarovo,RU,2022-05-17 13:08:53,58.9785,47.0246,50.77,77,100,12.12,overcast clouds
152,Ternate,ID,2022-05-17 13:08:53,0.8,127.4,82.27,77,48,3.8,scattered clouds
153,Georgetown,MY,2022-05-17 13:08:53,5.4112,100.3354,85.95,74,20,2.3,few clouds
154,Zalantun,CN,2022-05-17 13:08:54,48.0,122.7167,51.33,62,9,2.13,clear sky
155,Manzhouli,CN,2022-05-17 13:08:54,49.6,117.4333,58.23,27,19,3.6,few clouds
156,Juneau,US,2022-05-17 13:08:26,58.3019,-134.4197,44.22,89,75,14.97,light rain
157,Mikuni,JP,2022-05-17 13:08:55,36.2171,136.1519,57.11,66,12,4.76,few clouds
158,Vostok,RU,2022-05-17 13:08:55,46.4856,135.8833,48.31,55,100,5.93,overcast clouds
159,Bonthe,SL,2022-05-17 13:08:55,7.5264,-12.505,84.7,71,75,8.72,broken clouds
160,Muroto,JP,2022-05-17 13:08:56,33.2833,134.15,65.17,68,100,4.85,overcast clouds
161,Kruisfontein,ZA,2022-05-17 13:08:56,-34.0033,24.7314,87.75,16,0,3.58,clear sky
162,Jumla,NP,2022-05-17 13:08:56,29.2747,82.1838,55.94,83,99,0.43,overcast clouds
163,Vicksburg,US,2022-05-17 13:05:04,32.3526,-90.8779,74.88,83,20,3.44,few clouds
164,Sioux Lookout,CA,2022-05-17 13:08:57,50.1001,-91.917,42.78,60,6,1.52,clear sky
165,Agirish,RU,2022-05-17 13:08:57,61.9247,63.0231,56.91,53,86,8.32,overcast clouds
166,Desaguadero,PE,2022-05-17 13:08:57,-16.5656,-69.0417,44.53,38,22,1.72,few clouds
167,Masterton,NZ,2022-05-17 13:08:58,-40.9597,175.6575,59.88,93,53,4.09,broken clouds
168,Taft,IR,2022-05-17 13:08:58,31.7471,54.2088,91.85,5,3,11.21,clear sky
169,San Patricio,US,2022-05-17 13:08:58,28.017,-97.5169,79.86,86,11,8.39,few clouds
170,Jiuquan,CN,2022-05-17 13:08:59,39.7432,98.5174,68.94,5,100,2.17,overcast clouds
171,Sao Jose Da Coroa Grande,BR,2022-05-17 13:08:59,-8.8978,-35.1478,83.03,75,100,8.93,overcast clouds
172,Nioro,GM,2022-05-17 13:08:59,13.35,-15.75,101.28,21,42,6.93,scattered clouds
173,Uusikaupunki,FI,2022-05-17 13:09:00,60.8004,21.4084,43.92,66,78,16.13,broken clouds
174,La Asuncion,VE,2022-05-17 13:09:00,11.0333,-63.8628,81.64,74,96,14.47,overcast clouds
175,Coihaique,CL,2022-05-17 13:09:00,-45.5752,-72.0662,24.75,93,75,0.0,mist
176,Bakel,SN,2022-05-17 13:09:01,14.905,-12.4568,105.48,7,6,2.89,clear sky
177,Petropavlovsk-Kamchatskiy,RU,2022-05-17 13:04:30,53.0452,158.6483,38.57,85,5,6.55,clear sky
178,Acaponeta,MX,2022-05-17 13:09:01,22.4964,-105.3594,73.33,70,100,2.62,overcast clouds
179,Cherskiy,RU,2022-05-17 13:09:01,68.75,161.3,33.93,99,100,3.78,overcast clouds
180,Thompson,CA,2022-05-17 13:09:02,55.7435,-97.8558,38.66,64,14,4.9,few clouds
181,Husavik,IS,2022-05-17 13:10:02,66.0449,-17.3389,56.77,37,8,18.07,clear sky
182,Emporia,US,2022-05-17 13:10:03,38.4039,-96.1817,64.6,72,0,6.91,clear sky
183,Stokmarknes,NO,2022-05-17 13:10:03,68.5646,14.9108,35.58,93,75,5.75,light intensity drizzle rain
184,Kurumkan,RU,2022-05-17 13:10:03,54.3,110.3,53.76,68,88,7.2,overcast clouds
185,Poso,ID,2022-05-17 13:10:04,-1.3959,120.7524,78.93,89,100,0.89,overcast clouds
186,Jacqueville,CI,2022-05-17 13:10:04,5.2052,-4.4146,82.96,77,90,9.15,overcast clouds
187,Lebu,CL,2022-05-17 13:10:04,-37.6167,-73.65,51.26,57,24,4.45,few clouds
188,Todos Santos,MX,2022-05-17 13:08:31,23.45,-110.2167,63.66,89,27,3.78,scattered clouds
189,Mahebourg,MU,2022-05-17 13:10:05,-20.4081,57.7,75.49,73,75,16.11,broken clouds
190,Hermosillo,MX,2022-05-17 13:08:29,29.0667,-110.9667,77.85,35,0,8.05,clear sky
191,Tezu,IN,2022-05-17 13:05:21,27.9167,96.1667,70.95,97,100,5.68,light rain
192,Sistranda,NO,2022-05-17 13:10:05,63.7256,8.834,57.16,66,14,14.85,few clouds
193,Homer,US,2022-05-17 13:07:30,59.6425,-151.5483,47.05,78,20,5.75,few clouds
194,Anchorage,US,2022-05-17 13:06:39,61.2181,-149.9003,46.65,72,40,8.01,scattered clouds
195,Kletskaya,RU,2022-05-17 13:10:06,49.3145,43.0584,59.95,37,97,19.66,overcast clouds
196,Puerto Ayora,EC,2022-05-17 13:10:06,-0.7393,-90.3518,72.55,97,100,4.12,overcast clouds
197,Kadoma,JP,2022-05-17 13:10:06,34.7333,135.5833,63.18,55,100,6.8,overcast clouds
198,Saint-Philippe,RE,2022-05-17 13:10:07,-21.3585,55.7679,76.59,79,74,14.14,light rain
199,Vanavara,RU,2022-05-17 13:10:07,60.34,102.2797,60.93,49,80,6.11,broken clouds
200,Leningradskiy,RU,2022-05-17 13:10:08,69.3833,178.4167,23.68,96,100,8.46,overcast clouds
201,At-Bashi,KG,2022-05-17 13:10:08,41.1702,75.8106,62.8,28,8,13.06,clear sky
202,Ampanihy,MG,2022-05-17 13:10:08,-24.7,44.75,79.18,38,0,13.18,clear sky
203,Ishinomaki,JP,2022-05-17 13:10:09,38.4167,141.3,56.17,86,100,2.48,overcast clouds
204,Salinas,US,2022-05-17 13:10:09,36.6777,-121.6555,53.69,78,100,8.05,overcast clouds
205,Cabo San Lucas,MX,2022-05-17 13:05:25,22.8909,-109.9124,75.51,62,20,14.97,few clouds
206,Sinop,TR,2022-05-17 13:10:09,41.7711,34.8709,59.43,53,6,7.2,clear sky
207,Corner Brook,CA,2022-05-17 13:10:10,48.9667,-57.9484,45.7,80,100,7.78,overcast clouds
208,Mahibadhoo,MV,2022-05-17 13:10:10,3.7833,72.9667,83.01,81,100,23.62,overcast clouds
209,Namatanai,PG,2022-05-17 13:10:10,-3.6667,152.4333,79.75,80,41,4.56,scattered clouds
210,Ilulissat,GL,2022-05-17 13:10:11,69.2167,-51.1,28.42,69,75,0.0,broken clouds
211,Ust-Nera,RU,2022-05-17 13:10:11,64.5667,143.2,30.74,93,100,2.53,overcast clouds
212,Poum,NC,2022-05-17 13:10:11,-20.2333,164.0167,77.09,78,48,12.64,scattered clouds
213,Bengkulu,ID,2022-05-17 13:10:12,-3.8004,102.2655,80.06,83,96,6.69,overcast clouds
214,Brae,GB,2022-05-17 13:10:12,60.3964,-1.353,53.58,79,4,21.94,clear sky
215,Bethel,US,2022-05-17 13:10:12,41.3712,-73.414,64.45,72,0,9.22,clear sky
216,Kaitangata,NZ,2022-05-17 13:10:13,-46.2817,169.8464,47.77,88,98,5.14,overcast clouds
217,Krasnoselkup,RU,2022-05-17 13:10:16,65.7,82.4667,52.75,85,100,4.83,overcast clouds
218,Ancud,CL,2022-05-17 13:10:17,-41.8697,-73.8203,44.01,72,100,8.88,overcast clouds
219,Broome,US,2022-05-17 13:10:17,42.2506,-75.833,59.7,74,100,12.66,overcast clouds
220,Kiruna,SE,2022-05-17 13:10:17,67.8557,20.2251,36.52,60,100,4.61,overcast clouds
221,Luderitz,NA,2022-05-17 13:10:18,-26.6481,15.1594,77.52,38,1,19.62,clear sky
222,Margate,GB,2022-05-17 13:10:18,51.3813,1.3862,74.1,78,33,8.81,scattered clouds
223,Mar Del Plata,AR,2022-05-17 13:09:10,-38.0023,-57.5575,55.94,77,100,23.02,light rain
224,Mahajanga,MG,2022-05-17 13:10:18,-15.7167,46.3167,89.62,43,40,9.22,scattered clouds
225,Saint-Joseph,RE,2022-05-17 13:10:19,-21.3667,55.6167,75.58,76,42,15.19,light rain
226,Bose,IT,2022-05-17 13:10:19,45.4612,8.0137,84.24,50,100,4.21,overcast clouds
227,Vieques,PR,2022-05-17 13:11:19,18.425,-65.8329,84.85,74,20,13.8,few clouds
228,Salinopolis,BR,2022-05-17 13:11:20,-0.6136,-47.3561,83.98,73,66,11.45,broken clouds
229,Ozinki,RU,2022-05-17 13:11:20,51.1786,49.6769,56.84,57,93,13.58,light rain
